Community	Plantsp	Fruit_availability	Fruit_color	Fruit_diam_mm	Birdsp	Bird_phylo	Fruit_diet	Bill_width_mm	Body_mass	Visits
Moyobamba	Cecropia_sp.	115	green	134.852	Schistochlamys_melanopis	Schistochlamys_melanopis	50	8.4	33	1
Brazil	Annona_sp.	19	green	150	Schistochlamys_ruficapillus	Schistochlamys_ruficapillus	50	6.4	31.2	1
Brazil	Byrsonima_coccolobifolia	1267.761905	black	6.39125	Schistochlamys_ruficapillus	Schistochlamys_ruficapillus	50	6.4	31.2	3
Brazil	Lantana_camara	37	black	4.9	Schistochlamys_ruficapillus	Schistochlamys_ruficapillus	50	6.4	31.2	3
Brazil	Miconia_albicans	4594.142857	green	5.409	Schistochlamys_ruficapillus	Schistochlamys_ruficapillus	50	6.4	31.2	6
Brazil	Myrcia_guianensis	534.1818182	black	8.225	Schistochlamys_ruficapillus	Schistochlamys_ruficapillus	50	6.4	31.2	2
Brazil	Myrcia_sp.naranja	1663.8	black	9.852285354	Schistochlamys_ruficapillus	Schistochlamys_ruficapillus	50	6.4	31.2	6
Moyobamba	Cecropia_sp.	115	green	134.852	Parula_pitiayumi	Parula_pitiayumi	20	3	6.82	2
Puerto_Rico	Bursera_simaruba	37.33333333	red	6.45	Spindalis_portoricensis	Spindalis_portoricensis	60	5.6	32.12	1
Puerto_Rico	Cecropia_schreberiana	925	green	75	Spindalis_portoricensis	Spindalis_portoricensis	60	5.6	32.12	2
Puerto_Rico	Cupania_americana	976	yellow	10.19	Spindalis_portoricensis	Spindalis_portoricensis	60	5.6	32.12	1
Puerto_Rico	Sideroxylon_salicifolium	176.25	black	4.8	Spindalis_portoricensis	Spindalis_portoricensis	60	5.6	32.12	1
Puerto_Rico	Solanum_erianthum	2.5	green	15	Spindalis_portoricensis	Spindalis_portoricensis	60	5.6	32.12	2
Puerto_Rico	Tetrazygia_eleagnoides	69.83333333	black	12.5	Spindalis_portoricensis	Spindalis_portoricensis	60	5.6	32.12	1
