Community	Plantsp	Fruit_availability	Fruit_color	Fruit_diam_mm	Birdsp	Bird_phylo	Fruit_diet	Bill_width_mm	Body_mass	Visits
Moyobamba	Myrsine_sp.caulifruto	3862.888889	black	4.2545	Euphonia_xanthogaster	Euphonia_xanthogaster	90	4.8	13	3
Moyobamba	Cecropia_sp.	115	green	134.852	Icterus_cayanensis	Icterus_cayanensis	0	4.3	35.44	1
Puerto_Rico	Casearia_guianensis	39.4	orange	1	Icterus_icterus	Icterus_icterus	40	6.4	60.88	1
Puerto_Rico	Cupania_americana	976	yellow	10.19	Icterus_icterus	Icterus_icterus	40	6.4	60.88	3
Puerto_Rico	Tournefortia_hirsutissima	169.1666667	white	4.59	Icterus_icterus	Icterus_icterus	40	6.4	60.88	1
Moyobamba	Cecropia_sp.	115	green	134.852	Legatus_leucophaius	Legatus_leucophaius	70	6.3	22.2	1
Moyobamba	Nectandra_sp.	6002.888889	black	8.705	Legatus_leucophaius	Legatus_leucophaius	70	6.3	22.2	13
Puerto_Rico	Casearia_decandra	31.2	yellow	7.98	Loxigilla_portoricensis	Loxigilla_portoricensis	20	4.9	16.6	2
Puerto_Rico	Casearia_guianensis	39.4	orange	1	Loxigilla_portoricensis	Loxigilla_portoricensis	20	4.9	16.6	1
Puerto_Rico	Casearia_sylvestris	10	red	0.5	Loxigilla_portoricensis	Loxigilla_portoricensis	20	4.9	16.6	1
Puerto_Rico	Cecropia_schreberiana	925	green	75	Loxigilla_portoricensis	Loxigilla_portoricensis	20	4.9	16.6	1
Puerto_Rico	Clusia_rosea	2.5	red	1	Loxigilla_portoricensis	Loxigilla_portoricensis	20	4.9	16.6	4
Puerto_Rico	Cupania_americana	976	yellow	10.19	Loxigilla_portoricensis	Loxigilla_portoricensis	20	4.9	16.6	3
Puerto_Rico	Tetrazygia_eleagnoides	69.83333333	black	12.5	Loxigilla_portoricensis	Loxigilla_portoricensis	20	4.9	16.6	1
Puerto_Rico	Trema_micrantha	831.25	red	2.47	Loxigilla_portoricensis	Loxigilla_portoricensis	20	4.9	16.6	4
Moyobamba	Clidemia_sp.	23.22222222	black	5	Machaeropterus_pyrocephalus	Machaeropterus_pyrocephalus	80	3.5	9.49	1
Moyobamba	Humiria_balsamifera	15667.77778	brown	7.724588235	Machaeropterus_pyrocephalus	Machaeropterus_pyrocephalus	80	3.5	9.49	1
Moyobamba	Miconia_bicolor	642.4444444	black	4.85	Machaeropterus_pyrocephalus	Machaeropterus_pyrocephalus	80	3.5	9.49	38
Moyobamba	Miconia_sp.chrysoflora	45.75	black	4.85	Machaeropterus_pyrocephalus	Machaeropterus_pyrocephalus	80	3.5	9.49	2
Moyobamba	Miconia_sp.cruz-malta	296.1111111	red	4.85	Machaeropterus_pyrocephalus	Machaeropterus_pyrocephalus	80	3.5	9.49	9
Moyobamba	Miconia_sp.gigantophylla	533.3333333	black	4.85	Machaeropterus_pyrocephalus	Machaeropterus_pyrocephalus	80	3.5	9.49	10
Moyobamba	Miconia_sp.miconito	61.5	black	4.85	Machaeropterus_pyrocephalus	Machaeropterus_pyrocephalus	80	3.5	9.49	2
Puerto_Rico	Bunchosia_glandulosa	450	red	10	Margarops_fuscatus	Margarops_fuscatus	40	5.4	98.43	2
Puerto_Rico	Clusia_rosea	2.5	red	1	Margarops_fuscatus	Margarops_fuscatus	40	5.4	98.43	13
Puerto_Rico	Cordia_polycephala	433	red	5.14	Margarops_fuscatus	Margarops_fuscatus	40	5.4	98.43	5
Puerto_Rico	Cupania_americana	976	yellow	10.19	Margarops_fuscatus	Margarops_fuscatus	40	5.4	98.43	14
Puerto_Rico	Sideroxylon_salicifolium	176.25	black	4.8	Margarops_fuscatus	Margarops_fuscatus	40	5.4	98.43	1
Puerto_Rico	Solanum_erianthum	2.5	green	15	Margarops_fuscatus	Margarops_fuscatus	40	5.4	98.43	1
Puerto_Rico	Tetrazygia_eleagnoides	69.83333333	black	12.5	Margarops_fuscatus	Margarops_fuscatus	40	5.4	98.43	1
Puerto_Rico	Tournefortia_hirsutissima	169.1666667	white	4.59	Margarops_fuscatus	Margarops_fuscatus	40	5.4	98.43	7
Puerto_Rico	Trichilia_hirta	2	orange	4	Margarops_fuscatus	Margarops_fuscatus	40	5.4	98.43	1
Moyobamba	Nectandra_sp.	6002.888889	black	8.705	Megarynchus_pitangua	Megarynchus_pitangua	10	13.9	69.91	1
Moyobamba	Cecropia_sp.	115	green	134.852	Melanerpes_cruentatus	Melanerpes_cruentatus	50	6.7	58.1	45
Moyobamba	Myrsine_sp.caulifruto	3862.888889	black	4.2545	Melanerpes_cruentatus	Melanerpes_cruentatus	50	6.7	58.1	1
Argentina	Maytenus_boaria	551.7142857	red	4.55	Melanodera_xanthogramma	Melanodera_xanthogramma	0	6.2	36	1
